受访者 ID,年龄 ,Gender, 地区 ,答题时长(秒),Q1_整体满意度,Q2_推荐意愿,Q3_使用频率,Q4_是否购买,Q5_界面满意度,Q6_功能满意度,Q7_体验评分,Q8_性价比评分,Q9_复购意愿
R03728,46-55,男,杭州,162,不满意,可能会,经常,是,不满意,肯定不会,1,8,偶尔
R03729,26-35,女,成都,501,一般,可能会,经常,是,一般,可能不会,4,7,很少
R03730,46-55,女,成都,328,满意,肯定会,很少,否,一般,可能会,9,7,很少
R03731,26-35,女,深圳,546,一般,可能会,偶尔,是,一般,不确定,10,7,总是
R03732,18-25,女,上海,233,一般,可能会,经常,是,满意,可能会,6,6,偶尔
R03733,46-55,女,上海,306,不满意,不确定,经常,是,满意,可能会,8,6,偶尔
R03734,18-25,男,北京,311,一般,不确定,从不,否,非常不满意,可能会,4,5,总是
R03735,26-35,男,上海,305,非常满意,肯定会,经常,否,一般,肯定会,8,8,偶尔
R03736,56+,女,广州,274,一般,可能会,经常,否,不满意,肯定会,9,2,总是
R03737,18-25,女,广州,151,一般,可能会,总是,是,满意,可能不会,4,5,从不
R03738,56+,女,广州,114,非常满意,可能会,很少,是,一般,不确定,5,2,偶尔
R03739,26-35,男,广州,127,满意,可能会,从不,否,非常不满意,肯定不会,2,4,很少
R03740,18-25,男,杭州,232,满意,不确定,经常,是,非常满意,肯定不会,4,10,很少
R03741,18-25,女,广州,423,满意,可能会,经常,是,不满意,可能会,3,5,偶尔
R03742,36-45,男,广州,519,满意,肯定会,偶尔,是,满意,可能会,5,7,经常
R03743,36-45,女,北京,161,一般,可能会,经常,否,一般,不确定,6,10,经常
R03744,46-55,男,杭州,376,满意,肯定不会,总是,否,不满意,可能会,2,10,很少
R03745,26-35,男,杭州,75,非常满意,肯定会,很少,是,不满意,可能会,6,7,很少
R03746,18-25,男,杭州,541,满意,肯定会,经常,是,非常不满意,不确定,7,10,经常
R03747,26-35,女,上海,454,满意,可能会,经常,是,满意,不确定,8,1,经常
R03748,36-45,男,北京,574,非常满意,可能会,经常,是,非常满意,可能会,9,7,偶尔
R03749,56+,女,广州,520,满意,肯定会,经常,否,一般,不确定,9,1,从不
R03750,36-45,女,广州,533,一般,可能会,偶尔,是,满意,可能不会,8,4,经常
R03751,36-45,女,深圳,289,满意,不确定,经常,否,非常满意,可能会,7,8,经常
R03752,56+,男,广州,474,非常满意,可能会,偶尔,否,满意,肯定会,5,7,从不
R03753,36-45,男,深圳,428,一般,肯定会,总是,否,不满意,可能不会,1,6,偶尔
R03754,18-25,男,广州,509,满意,可能会,经常,是,非常满意,肯定会,3,10,经常
R03755,26-35,男,深圳,414,一般,肯定会,经常,是,满意,肯定不会,9,9,很少
R03756,26-35,女,广州,92,满意,可能会,经常,否,满意,可能会,1,7,很少
R03757,18-25,男,杭州,145,一般,不确定,经常,是,非常不满意,可能会,5,8,从不
R03758,18-25,男,杭州,352,满意,可能会,很少,否,满意,可能不会,10,9,经常
R03759,36-45,男,广州,446,一般,不确定,偶尔,否,满意,肯定不会,10,5,很少
R03760,26-35,女,广州,204,满意,肯定会,经常,否,不满意,肯定不会,10,7,很少
R03761,26-35,其他,上海,564,不满意,肯定会,很少,否,一般,肯定会,7,8,很少
R03762,18-25,男,杭州,138,满意,可能不会,很少,是,一般,可能会,10,3,经常
R03763,26-35,女,北京,106,满意,可能不会,经常,否,非常满意,肯定会,3,3,很少
R03764,26-35,女,杭州,167,非常满意,可能会,偶尔,是,不满意,不确定,2,2,偶尔
R03765,36-45,女,北京,362,不满意,肯定会,总是,是,不满意,不确定,6,6,偶尔
R03766,26-35,女,成都,147,非常满意,不确定,很少,是,非常满意,不确定,2,7,经常
R03767,18-25,男,上海,368,满意,可能不会,经常,是,非常不满意,可能不会,4,4,偶尔
R03768,36-45,男,北京,375,满意,不确定,从不,否,一般,不确定,6,1,很少
R03769,26-35,女,上海,149,满意,不确定,偶尔,是,一般,不确定,7,8,偶尔
R03770,36-45,女,深圳,161,非常满意,不确定,从不,否,不满意,肯定会,5,9,总是
R03771,36-45,女,北京,341,满意,可能不会,经常,是,非常满意,可能会,5,4,总是
R03772,36-45,男,广州,137,非常满意,不确定,总是,是,一般,可能不会,5,7,偶尔
R03773,26-35,男,成都,269,不满意,可能会,从不,是,满意,可能不会,3,7,经常
R03774,36-45,男,广州,346,非常满意,不确定,经常,否,满意,可能会,9,2,经常
R03775,18-25,男,深圳,222,满意,可能会,总是,是,一般,可能不会,10,3,经常
R03776,56+,女,上海,460,不满意,可能会,很少,否,一般,不确定,2,2,总是
R03777,18-25,男,北京,232,满意,肯定会,经常,是,满意,肯定会,4,1,总是
R03778,36-45,其他,深圳,497,一般,不确定,经常,是,非常满意,肯定会,10,3,偶尔
R03779,26-35,女,北京,178,满意,可能会,偶尔,是,满意,可能会,1,8,经常
R03780,18-25,男,广州,147,不满意,可能不会,总是,否,一般,肯定会,6,10,很少
R03781,36-45,女,广州,274,一般,可能不会,偶尔,是,不满意,可能会,8,3,经常
R03782,26-35,男,成都,422,满意,可能会,经常,否,非常满意,可能会,10,5,很少
R03783,26-35,女,北京,517,满意,可能不会,经常,是,满意,可能会,3,2,偶尔
R03784,36-45,男,成都,191,一般,可能会,很少,否,一般,不确定,10,8,从不
R03785,26-35,女,成都,595,满意,可能会,经常,否,非常满意,可能会,8,4,很少
R03786,26-35,女,深圳,226,一般,可能不会,很少,是,一般,不确定,9,4,偶尔
R03787,18-25,男,北京,140,一般,不确定,偶尔,否,非常满意,可能会,9,5,偶尔
R03788,26-35,男,杭州,67,一般,可能会,经常,是,一般,不确定,2,1,偶尔
R03789,36-45,男,杭州,366,满意,肯定不会,经常,是,一般,可能不会,4,3,偶尔
R03790,26-35,男,广州,335,满意,肯定会,偶尔,是,满意,可能会,6,1,经常
R03791,56+,男,深圳,520,满意,肯定会,偶尔,是,满意,可能不会,6,8,从不
R03792,18-25,女,广州,498,满意,不确定,经常,是,一般,可能不会,1,5,很少
R03793,36-45,女,成都,519,满意,可能不会,经常,是,非常满意,可能不会,9,5,经常
R03794,46-55,男,上海,192,满意,不确定,总是,否,满意,可能会,1,6,经常
R03795,36-45,女,北京,196,满意,肯定会,经常,是,不满意,可能会,9,1,经常
R03796,36-45,男,杭州,586,非常满意,不确定,从不,否,一般,可能会,1,10,偶尔
R03797,26-35,男,北京,207,一般,不确定,偶尔,是,一般,可能会,8,10,很少
R03798,56+,女,广州,71,一般,可能不会,从不,否,不满意,不确定,9,3,经常
R03799,26-35,女,广州,534,满意,肯定会,经常,否,一般,可能会,5,4,很少
R03800,26-35,男,北京,94,一般,肯定会,偶尔,是,非常满意,不确定,1,1,很少
R03801,18-25,女,上海,166,满意,肯定会,从不,是,一般,不确定,1,9,偶尔
R03802,18-25,男,杭州,438,非常满意,不确定,经常,是,不满意,不确定,3,3,经常
R03803,26-35,男,上海,582,满意,可能会,从不,否,满意,可能会,5,10,偶尔
R03804,26-35,男,深圳,172,不满意,可能会,偶尔,是,非常不满意,不确定,9,8,很少
R03805,56+,女,广州,188,满意,可能会,经常,否,满意,可能不会,10,10,偶尔
R03806,26-35,男,成都,345,满意,不确定,经常,否,非常满意,肯定会,8,9,总是
R03807,36-45,女,北京,496,满意,可能不会,偶尔,否,满意,可能不会,10,6,经常
R03808,46-55,男,深圳,391,非常满意,可能不会,经常,是,非常满意,不确定,1,8,总是
R03809,26-35,女,上海,145,满意,可能会,总是,是,不满意,不确定,4,6,经常
R03810,26-35,女,杭州,177,满意,可能会,很少,是,一般,可能会,6,6,偶尔
R03811,36-45,男,北京,504,满意,肯定会,很少,否,一般,可能不会,8,1,偶尔
R03812,26-35,男,北京,125,一般,可能不会,总是,是,满意,可能会,9,10,经常
R03813,18-25,男,杭州,322,满意,肯定会,经常,否,一般,可能会,6,2,偶尔
R03814,18-25,男,上海,298,一般,可能会,偶尔,是,一般,可能不会,8,5,从不
R03815,46-55,女,广州,60,满意,可能会,从不,是,不满意,肯定会,4,9,很少
R03816,18-25,男,北京,340,非常满意,不确定,偶尔,否,非常满意,可能会,6,2,经常
R03817,18-25,女,广州,573,不满意,可能会,经常,否,非常满意,肯定不会,8,10,很少
R03818,36-45,男,杭州,351,非常满意,可能会,经常,否,非常满意,肯定会,5,6,经常
R03819,46-55,女,杭州,322,满意,可能会,从不,否,满意,肯定不会,1,10,总是
R03820,46-55,女,广州,94,非常满意,可能会,偶尔,否,不满意,可能会,4,4,总是
R03821,56+,女,北京,255,不满意,可能会,总是,是,满意,不确定,4,1,偶尔
R03822,56+,女,广州,62,一般,肯定会,经常,否,一般,肯定不会,2,1,偶尔
R03823,26-35,男,杭州,172,不满意,可能不会,经常,是,非常不满意,可能会,6,10,很少
R03824,26-35,女,深圳,86,满意,不确定,经常,是,一般,可能会,9,4,经常
R03825,26-35,女,杭州,147,满意,肯定会,经常,是,满意,不确定,10,4,偶尔
R03826,18-25,女,杭州,533,非常满意,可能不会,很少,否,满意,可能会,2,1,偶尔
R03827,18-25,男,杭州,444,非常满意,可能会,经常,是,不满意,不确定,4,1,偶尔
R03828,36-45,女,上海,597,不满意,可能会,很少,否,不满意,不确定,9,9,很少
R03829,26-35,男,深圳,179,一般,可能会,偶尔,否,非常满意,可能会,8,9,总是
R03830,26-35,女,杭州,378,不满意,可能会,偶尔,否,非常满意,肯定不会,3,6,经常
R03831,18-25,男,成都,481,一般,可能不会,偶尔,是,一般,不确定,8,10,经常
R03832,36-45,男,上海,421,不满意,可能会,偶尔,否,满意,肯定会,2,5,从不
R03833,18-25,女,深圳,81,一般,肯定会,偶尔,否,一般,可能会,6,3,经常
R03834,36-45,女,深圳,491,一般,可能会,经常,是,满意,可能会,4,10,总是
R03835,46-55,女,成都,109,满意,可能会,经常,是,满意,可能会,5,3,从不
R03836,26-35,女,杭州,306,不满意,肯定会,偶尔,是,一般,不确定,6,9,很少
R03837,26-35,女,深圳,194,一般,肯定会,经常,是,一般,可能不会,1,10,偶尔
R03838,36-45,男,成都,583,非常不满意,可能不会,很少,是,不满意,可能会,7,3,很少
R03839,26-35,男,成都,294,一般,肯定会,从不,是,满意,不确定,7,6,偶尔
R03840,26-35,女,成都,128,非常满意,不确定,经常,是,不满意,可能会,5,3,经常
R03841,26-35,男,上海,65,不满意,肯定会,总是,是,一般,可能会,3,1,很少
R03842,26-35,女,成都,392,非常满意,可能会,从不,否,非常满意,不确定,5,1,经常
R03843,26-35,男,广州,156,满意,肯定会,经常,是,一般,可能会,6,7,偶尔
R03844,26-35,男,上海,579,一般,肯定会,很少,否,满意,肯定会,6,4,经常
R03845,18-25,女,杭州,581,一般,肯定会,经常,是,一般,可能不会,6,3,经常
R03846,18-25,女,上海,484,一般,肯定会,偶尔,是,一般,可能会,4,1,很少
R03847,18-25,男,杭州,195,一般,可能会,总是,否,满意,不确定,2,9,很少
R03848,36-45,男,杭州,145,非常满意,肯定会,总是,是,一般,肯定会,2,3,总是
R03849,26-35,女,北京,436,不满意,可能不会,经常,否,满意,不确定,2,8,经常
R03850,46-55,女,深圳,134,满意,不确定,总是,否,满意,肯定会,7,7,总是
R03851,18-25,男,成都,445,一般,不确定,偶尔,是,一般,可能会,1,4,偶尔
R03852,36-45,男,上海,435,满意,可能会,偶尔,否,非常满意,不确定,6,10,经常
R03853,46-55,其他,成都,236,一般,肯定不会,总是,是,非常满意,可能不会,8,2,偶尔
R03854,26-35,男,深圳,454,一般,肯定会,经常,是,满意,肯定会,6,2,经常
R03855,26-35,男,杭州,522,满意,不确定,从不,是,不满意,肯定会,3,8,经常
R03856,26-35,男,上海,68,非常满意,肯定会,总是,是,满意,不确定,8,7,经常
R03857,26-35,男,杭州,188,非常不满意,肯定会,经常,是,满意,不确定,4,2,从不
R03858,18-25,女,广州,101,满意,可能不会,总是,否,一般,肯定不会,6,3,经常
R03859,36-45,男,北京,107,一般,不确定,偶尔,是,满意,可能会,2,1,很少
R03860,46-55,女,北京,426,一般,可能会,很少,是,满意,可能会,10,3,经常
R03861,46-55,男,深圳,68,一般,肯定会,很少,是,满意,肯定会,1,8,经常
R03862,18-25,女,广州,479,满意,可能会,偶尔,是,满意,不确定,4,10,偶尔
R03863,26-35,女,成都,228,满意,可能不会,偶尔,否,不满意,可能会,5,6,经常
R03864,26-35,男,广州,325,满意,可能会,经常,否,非常不满意,肯定不会,1,9,偶尔
R03865,46-55,男,上海,536,满意,肯定会,经常,是,一般,可能会,5,10,经常
R03866,18-25,女,北京,345,满意,肯定会,经常,是,满意,可能会,7,10,经常
R03867,18-25,女,北京,377,一般,不确定,经常,是,满意,不确定,10,10,很少
R03868,18-25,女,广州,195,一般,可能不会,从不,是,满意,不确定,9,3,偶尔
R03869,26-35,女,杭州,348,满意,可能不会,经常,是,满意,不确定,6,3,总是
R03870,18-25,男,北京,174,非常满意,可能会,经常,是,一般,不确定,4,1,总是
R03871,26-35,女,上海,531,满意,不确定,经常,否,一般,可能会,3,1,经常
R03872,26-35,男,杭州,411,非常满意,肯定会,经常,否,不满意,可能会,10,4,偶尔
R03873,26-35,女,广州,221,满意,可能会,经常,是,满意,肯定会,6,1,偶尔
R03874,46-55,女,成都,572,一般,可能会,偶尔,是,非常不满意,可能会,6,2,经常
R03875,26-35,女,北京,331,满意,可能会,经常,是,非常满意,不确定,2,8,总是
R03876,26-35,女,广州,462,非常满意,可能会,总是,是,一般,可能会,2,5,偶尔
R03877,56+,男,北京,431,满意,肯定会,偶尔,否,非常满意,可能会,8,6,很少
R03878,26-35,男,杭州,95,不满意,不确定,经常,是,一般,不确定,6,1,很少
R03879,36-45,其他,北京,205,不满意,肯定会,总是,否,满意,可能会,9,2,很少
R03880,26-35,男,上海,191,非常满意,肯定会,总是,是,满意,可能会,4,1,总是
R03881,18-25,女,杭州,215,满意,不确定,经常,是,非常满意,不确定,2,8,偶尔
R03882,36-45,女,广州,509,非常不满意,肯定会,经常,是,满意,可能会,3,9,很少
R03883,36-45,女,杭州,478,满意,可能不会,总是,否,满意,肯定会,8,8,很少
R03884,26-35,男,深圳,360,满意,可能会,偶尔,否,一般,肯定不会,2,3,很少
R03885,26-35,男,广州,432,一般,不确定,很少,是,一般,肯定会,7,5,偶尔
R03886,26-35,女,杭州,287,满意,可能会,经常,否,一般,肯定不会,2,5,偶尔
R03887,26-35,女,上海,247,不满意,可能会,偶尔,否,非常满意,可能会,8,3,从不
R03888,26-35,女,深圳,415,一般,肯定会,很少,是,非常满意,可能会,9,6,总是
R03889,36-45,男,北京,420,一般,不确定,经常,是,满意,肯定不会,9,4,经常
R03890,46-55,男,北京,115,满意,可能不会,经常,是,满意,可能不会,10,3,经常
R03891,46-55,女,上海,476,非常满意,可能会,经常,是,一般,可能会,3,9,偶尔
R03892,36-45,其他,广州,379,满意,肯定不会,很少,是,非常满意,可能不会,5,2,偶尔
R03893,18-25,女,北京,299,满意,肯定不会,经常,是,一般,可能不会,1,1,总是
R03894,26-35,男,北京,417,不满意,可能会,偶尔,否,非常满意,不确定,10,4,经常
R03895,26-35,女,成都,513,满意,可能会,经常,是,一般,不确定,2,6,经常
R03896,18-25,男,北京,85,满意,肯定会,很少,否,满意,不确定,5,1,偶尔
R03897,56+,男,深圳,374,满意,可能不会,从不,是,满意,可能会,8,8,经常
R03898,36-45,其他,广州,417,非常满意,可能不会,经常,是,满意,可能不会,10,2,总是
R03899,56+,女,北京,264,满意,肯定会,从不,是,满意,不确定,1,5,经常
R03900,36-45,男,杭州,473,满意,不确定,经常,否,非常满意,不确定,10,2,偶尔
R03901,26-35,男,成都,381,满意,肯定会,很少,否,满意,可能不会,7,8,经常
R03902,26-35,其他,深圳,527,一般,可能会,很少,是,非常满意,可能会,8,9,偶尔
R03903,18-25,男,杭州,489,一般,可能会,偶尔,是,非常不满意,肯定会,2,2,总是
R03904,26-35,女,北京,590,一般,肯定会,总是,是,非常不满意,不确定,7,9,偶尔
R03905,18-25,女,上海,562,满意,不确定,经常,是,满意,可能不会,2,1,很少
R03906,26-35,男,北京,143,非常不满意,可能会,经常,是,一般,可能不会,5,10,经常
R03907,18-25,女,杭州,129,一般,可能不会,从不,是,满意,可能会,5,8,偶尔
R03908,18-25,女,广州,155,非常满意,可能会,经常,是,满意,可能会,3,4,经常
R03909,46-55,男,成都,117,一般,可能不会,偶尔,否,满意,不确定,8,1,偶尔
R03910,26-35,男,成都,85,满意,肯定不会,很少,是,满意,不确定,4,7,经常
R03911,26-35,男,广州,227,一般,不确定,偶尔,是,非常满意,不确定,2,6,经常
R03912,26-35,男,深圳,359,一般,可能会,经常,否,非常不满意,可能会,3,10,偶尔
R03913,18-25,女,北京,194,满意,肯定会,经常,否,满意,不确定,1,9,总是
R03914,56+,女,杭州,306,一般,肯定会,经常,是,一般,不确定,6,1,偶尔
R03915,26-35,男,上海,80,满意,肯定会,经常,是,满意,可能会,1,3,经常
R03916,36-45,男,北京,345,非常不满意,肯定会,偶尔,是,满意,可能会,9,5,经常
R03917,26-35,女,深圳,363,不满意,肯定会,总是,否,一般,肯定不会,5,8,偶尔
R03918,46-55,女,杭州,414,一般,可能会,经常,是,满意,可能会,7,1,总是
R03919,46-55,女,深圳,192,一般,可能会,从不,否,非常不满意,可能会,10,8,偶尔
R03920,26-35,男,成都,491,满意,可能会,经常,否,一般,可能会,4,1,经常
R03921,26-35,男,上海,212,一般,不确定,很少,是,一般,肯定不会,6,9,经常
R03922,18-25,男,上海,238,满意,可能不会,很少,是,一般,可能不会,2,7,经常
R03923,36-45,女,广州,588,一般,可能会,经常,是,满意,可能会,10,5,偶尔
R03924,26-35,女,杭州,230,非常满意,不确定,经常,是,不满意,肯定会,5,7,经常
R03925,36-45,男,北京,464,不满意,可能会,偶尔,是,满意,可能会,7,4,很少
R03926,46-55,男,深圳,173,一般,不确定,总是,否,满意,可能会,3,2,经常
R03927,26-35,女,深圳,413,满意,肯定会,偶尔,是,一般,可能会,5,9,总是
R03928,26-35,男,深圳,564,非常满意,肯定会,很少,是,一般,可能会,8,4,从不
R03929,46-55,女,成都,563,一般,肯定会,偶尔,是,一般,肯定会,5,4,很少
R03930,26-35,女,上海,111,满意,肯定会,总是,是,非常不满意,可能会,9,4,从不
R03931,26-35,男,北京,525,满意,肯定会,经常,是,满意,肯定会,6,10,偶尔
R03932,46-55,女,深圳,558,非常满意,可能会,总是,是,满意,可能不会,6,4,偶尔
R03933,26-35,女,上海,570,满意,可能会,从不,是,满意,肯定会,10,5,经常
R03934,26-35,女,深圳,117,一般,可能会,偶尔,否,一般,可能不会,10,3,偶尔
R03935,36-45,女,成都,597,不满意,可能会,总是,是,满意,可能不会,9,1,总是
R03936,26-35,女,北京,421,一般,不确定,很少,是,一般,肯定会,4,8,很少
R03937,18-25,女,深圳,140,满意,可能会,经常,是,不满意,不确定,6,6,经常
R03938,18-25,女,成都,525,满意,不确定,很少,是,非常满意,不确定,5,5,偶尔
R03939,18-25,女,北京,580,满意,肯定不会,经常,否,满意,不确定,8,9,总是
R03940,36-45,男,杭州,587,不满意,肯定不会,很少,是,满意,可能会,4,1,总是
R03941,18-25,男,深圳,69,满意,不确定,很少,是,满意,可能不会,6,6,经常
R03942,18-25,其他,成都,78,非常满意,不确定,经常,是,满意,可能会,1,4,经常
R03943,26-35,女,成都,335,一般,肯定会,很少,否,不满意,肯定会,10,6,经常
R03944,36-45,其他,广州,89,满意,不确定,总是,否,非常满意,可能会,2,10,偶尔
R03945,18-25,男,深圳,433,满意,肯定会,偶尔,是,不满意,可能会,8,9,从不
R03946,18-25,男,上海,206,非常满意,不确定,经常,否,满意,不确定,10,2,经常
R03947,46-55,女,成都,489,一般,不确定,偶尔,是,一般,可能不会,1,4,偶尔
R03948,36-45,男,广州,456,满意,肯定会,经常,是,一般,不确定,7,10,总是
R03949,26-35,男,成都,476,非常满意,肯定会,偶尔,是,非常不满意,可能会,2,1,很少
R03950,26-35,女,上海,329,满意,可能会,总是,是,非常满意,可能不会,2,9,经常
R03951,18-25,女,杭州,598,满意,不确定,偶尔,否,非常不满意,可能不会,8,3,偶尔
R03952,18-25,女,上海,441,一般,可能会,经常,是,满意,可能会,3,4,很少
R03953,46-55,女,上海,183,满意,不确定,从不,是,非常满意,可能不会,3,7,偶尔
R03954,18-25,男,上海,434,满意,可能会,偶尔,是,满意,可能会,5,7,从不
R03955,18-25,男,北京,253,满意,不确定,偶尔,否,满意,不确定,1,10,偶尔
R03956,26-35,女,北京,297,一般,可能会,总是,否,满意,不确定,7,5,经常
R03957,18-25,女,北京,470,满意,可能会,经常,否,一般,可能不会,1,6,很少
R03958,36-45,男,深圳,62,非常满意,肯定会,总是,是,非常不满意,肯定不会,8,9,很少
R03959,18-25,女,北京,179,非常满意,可能会,总是,否,一般,可能会,2,10,偶尔
R03960,26-35,女,北京,108,一般,不确定,偶尔,否,不满意,可能不会,10,3,很少
R03961,18-25,男,广州,324,满意,肯定会,偶尔,否,满意,不确定,5,8,总是
R03962,26-35,男,北京,514,满意,可能会,经常,是,一般,不确定,8,2,偶尔
R03963,18-25,男,北京,84,满意,可能会,偶尔,是,满意,不确定,1,7,很少
R03964,56+,女,成都,543,满意,肯定会,总是,是,一般,可能会,3,6,总是
R03965,26-35,女,成都,269,非常满意,可能会,经常,否,满意,可能会,3,9,总是
R03966,26-35,男,深圳,240,非常满意,肯定会,总是,是,满意,肯定会,9,2,偶尔
R03967,18-25,男,成都,549,不满意,不确定,总是,是,满意,可能会,2,10,很少
R03968,36-45,女,广州,384,满意,肯定会,经常,否,一般,不确定,3,9,很少
R03969,36-45,男,北京,572,一般,可能会,从不,是,非常满意,可能不会,1,5,很少
R03970,26-35,女,深圳,107,满意,可能不会,很少,否,不满意,不确定,10,7,经常
R03971,18-25,女,杭州,501,非常满意,可能会,经常,是,非常满意,不确定,10,5,很少
R03972,26-35,男,深圳,281,非常满意,可能会,从不,是,非常满意,可能会,5,9,很少
R03973,56+,女,深圳,164,满意,可能会,偶尔,否,非常满意,肯定不会,5,6,很少
R03974,46-55,女,杭州,217,非常不满意,可能会,偶尔,否,一般,可能不会,9,6,很少
R03975,18-25,男,上海,328,非常不满意,肯定会,经常,否,一般,可能会,10,4,经常
R03976,46-55,男,广州,115,非常满意,可能不会,经常,是,不满意,不确定,10,10,偶尔
R03977,36-45,其他,北京,202,非常满意,肯定会,偶尔,否,满意,肯定不会,3,6,经常
R03978,36-45,女,北京,180,满意,肯定会,很少,是,一般,肯定会,10,6,总是
R03979,46-55,女,上海,72,一般,肯定不会,经常,是,一般,可能会,8,8,很少
R03980,18-25,女,北京,444,满意,可能会,很少,是,一般,肯定会,7,4,偶尔
R03981,36-45,男,北京,470,满意,可能会,偶尔,否,非常不满意,可能会,1,8,很少
R03982,26-35,男,杭州,199,一般,肯定会,很少,是,满意,可能不会,2,5,经常
R03983,36-45,女,上海,424,一般,肯定不会,经常,是,非常满意,可能会,7,6,从不
R03984,26-35,男,上海,392,满意,不确定,偶尔,否,一般,可能不会,3,9,很少
R03985,26-35,男,广州,395,满意,肯定不会,很少,否,一般,不确定,2,2,经常
R03986,26-35,男,深圳,367,非常满意,肯定会,经常,是,满意,肯定会,1,6,偶尔
R03987,18-25,男,广州,461,非常满意,可能会,经常,否,一般,不确定,2,8,偶尔
R03988,26-35,男,成都,256,不满意,不确定,总是,是,非常满意,可能会,5,6,偶尔
R03989,18-25,女,上海,138,满意,不确定,经常,否,不满意,可能不会,6,1,偶尔
R03990,18-25,女,北京,558,一般,不确定,经常,是,一般,可能会,8,9,总是
R03991,46-55,其他,上海,143,满意,可能会,经常,否,一般,可能不会,9,9,经常
R03992,26-35,女,杭州,352,满意,可能会,很少,是,一般,不确定,9,6,偶尔
R03993,26-35,男,广州,532,一般,可能会,经常,是,非常不满意,可能会,6,6,经常
R03994,18-25,男,上海,579,满意,不确定,经常,否,一般,肯定会,4,3,总是
R03995,18-25,女,杭州,433,一般,肯定会,从不,否,一般,可能不会,8,1,总是
R03996,26-35,男,深圳,412,非常满意,肯定会,很少,是,满意,可能会,2,9,很少
R03997,36-45,女,成都,436,不满意,肯定会,经常,是,满意,不确定,4,2,偶尔
R03998,18-25,男,北京,344,非常满意,肯定会,从不,否,一般,不确定,4,3,很少
R03999,36-45,女,成都,402,一般,肯定会,很少,是,满意,可能不会,2,5,经常
R04000,26-35,男,杭州,218,一般,不确定,偶尔,是,不满意,可能会,3,1,总是
R04001,18-25,女,广州,463,满意,不确定,偶尔,否,非常满意,可能会,1,10,从不
R04002,26-35,女,广州,215,非常满意,肯定会,从不,是,非常满意,可能会,7,7,经常
R04003,18-25,男,杭州,537,满意,可能会,经常,是,一般,可能会,10,2,偶尔
R04004,36-45,男,北京,207,非常满意,可能会,经常,是,不满意,可能会,5,3,偶尔
R04005,46-55,男,杭州,147,一般,肯定会,经常,是,一般,可能不会,6,10,总是
R04006,46-55,女,上海,220,非常满意,可能不会,经常,否,满意,肯定会,7,3,偶尔
R04007,36-45,男,深圳,254,一般,肯定不会,经常,是,满意,肯定会,1,2,偶尔
R04008,36-45,女,杭州,360,一般,肯定不会,很少,否,非常满意,不确定,2,8,经常
R04009,26-35,女,杭州,69,满意,肯定会,总是,是,不满意,可能不会,2,6,总是
R04010,26-35,女,成都,291,一般,可能会,很少,否,一般,可能会,4,8,偶尔
R04011,18-25,女,广州,365,不满意,不确定,经常,是,一般,可能会,9,3,总是
R04012,26-35,女,成都,254,满意,可能会,总是,是,满意,不确定,7,1,很少
R04013,18-25,男,深圳,598,一般,可能会,经常,否,一般,不确定,6,1,很少
R04014,46-55,其他,成都,127,满意,可能会,经常,是,非常满意,可能会,10,6,很少
R04015,36-45,女,成都,255,非常满意,不确定,偶尔,否,不满意,可能会,6,5,经常
R04016,26-35,女,广州,559,不满意,肯定会,经常,是,一般,可能会,10,10,很少
R04017,26-35,女,北京,380,不满意,肯定会,从不,是,满意,可能会,8,1,经常
R04018,36-45,女,广州,134,一般,可能会,偶尔,否,非常满意,肯定不会,2,1,从不
R04019,36-45,男,成都,477,满意,可能会,偶尔,是,非常满意,可能会,9,7,偶尔
R04020,36-45,女,深圳,239,一般,肯定会,经常,否,满意,可能会,3,3,经常
R04021,18-25,男,上海,389,非常满意,不确定,从不,是,一般,肯定会,8,4,经常
R04022,18-25,男,上海,207,满意,可能会,经常,是,满意,肯定不会,1,7,偶尔
R04023,26-35,女,深圳,588,满意,可能不会,很少,否,非常满意,肯定会,4,9,经常
R04024,18-25,男,成都,401,不满意,肯定会,经常,是,一般,肯定不会,5,9,很少
R04025,46-55,女,深圳,67,满意,可能会,很少,否,非常满意,不确定,4,9,很少
R04026,26-35,女,深圳,374,一般,不确定,经常,是,满意,肯定会,6,1,偶尔
R04027,46-55,男,杭州,273,一般,不确定,很少,否,满意,肯定会,4,1,很少
R04028,26-35,男,杭州,480,一般,可能会,总是,否,一般,肯定不会,10,6,经常
R04029,18-25,女,深圳,147,满意,可能会,从不,是,不满意,肯定不会,2,1,偶尔
R04030,36-45,男,深圳,336,一般,肯定不会,经常,是,非常不满意,可能会,4,5,从不
R04031,36-45,男,广州,478,满意,可能不会,经常,是,非常满意,可能会,9,7,偶尔
R04032,26-35,女,杭州,593,满意,不确定,偶尔,否,一般,可能会,8,6,偶尔
R04033,18-25,女,成都,505,非常满意,肯定会,偶尔,是,不满意,不确定,1,2,经常
R04034,18-25,女,广州,209,非常满意,可能不会,偶尔,是,满意,可能不会,3,3,很少
R04035,36-45,男,成都,454,不满意,肯定会,偶尔,是,满意,肯定会,10,9,偶尔
R04036,36-45,女,深圳,354,一般,肯定不会,总是,是,一般,肯定会,8,10,很少
R04037,26-35,女,深圳,241,一般,不确定,很少,是,非常满意,不确定,4,2,总是
R04038,26-35,其他,成都,406,满意,不确定,经常,是,一般,不确定,8,7,很少
R04039,18-25,女,北京,504,一般,可能会,经常,是,满意,肯定会,5,7,总是
